Organisation,Number of payments,Total amount
Flavin Illustration,3,600
Pg Vouchers Ltd,2,1200
Paypal *denisegurne,2,103.85
Big Print Ltd,2,1580
Haas Automation Ltd,1,10000
Oakwood Lane Medical Practice Health,1,300
Yha Keswick,2,1778.33
Karen Lashington,7,3200
Ison Harrison Office Account,11,28858.77
Yassir Hussain,8,17410.5
Driver Hire,78,94863.76
Eb *the Childrens Medi,1,30
Interface Europe Ltd,10,23342.9
Lubavitch (Uk) Ltd,1,190
Nuffield Hospitals,2,4599
Argos,47,6483.87
The Vesper Gate,1,17.27
Sit Stand Work Ltd,1,270
Dance Operatives,1,200
Jane Edwardson,2,590
ROYAL MAIL GROUP PLC,43,142767.25
Federation Of Music Services,3,3320
Morris Contract Furniture,1,9547.22
New Horizon Community School,1,10000
Www.Vdoshop.Co.Uk,2,895
Kingston Comms,14,1485.07
Boots 5050,1,15.73
Castleton Childrens Centre,27,30628.03
Rm Education Plc,1267,22248251.36
EGBERT H TAYLOR,1,8000
ASM ACCESSORIES LTD,1,1375
Bss Group Plc,1141,2332289.31
Lcc Restoration Ltd,1,9873.61
Gildersome Community Choir,1,100
FRANK WILSON LTD,6,16125.86
The Parish Of Middleton (Leeds),6,2122.5
Leeds East Academy,22,87581.5
Kimberely Leaf,2,420
Ink N Toner Uk,3,140.44
Poundland Ltd 1242,2,18.6
Tate Enterprises Ltd,4,2835.96
Education Support Partnership,3,8940
Action First Ipeople Ltd,26,27211.1
Www.Mpdhookandloop.Com,10,625.29
Msw Sports Ltd,5,3443.35
Network Employment Consultancy,29,12259.34
Carewatch Leeds,3,140
Www.Buyshedsdirect.Co.,1,224.98
The Apperta Foundation Cic,3,106000
Joseph'S (Yorkshire) Ltd,1,2859.58
Grandlane Ltd,1,2400
Ener-G Natural Power Ltd,78,1015200.5
Lisa Goodings,8,3567
Cats Protection League,1,1500
Asda Pharmacy,22,16049.87
Sailflags,1,548
Eb *understanding Ww1,2,54.3
Faheem Aftab Ahmed,2,445
Asd Metal Services,60,67395.15
Mean-Eyed Catbar,1,100
William Osborne,1,80
Jks Media Ltd,1,1650
William Lindsay,56,38484.67
Micrarium Enterprises Ltd,1,8.35
Assembly House Cic,8,12040
Shawcross Printers Ltd,2,292.3
G N Tortice,13,27134.1
Paypal *pac Uk,3,225
Keeble Hawson Llp,3,250886.7
Hm Courts And Tribunals Service,4,1561.64
Deu Estates Properties Ltd,1,826.15
Cald And Hudd Nhs,2,1137.14
Lindab Ltd,7,5437.44
Astrabound,1,5.85
Call-A-Car,83,114726.58
Aws Ltd,57,166337.33
Deafinitely Able Interpreting Services,1,105
Bengal Brasserie,1,78.3
Bramley Buffaloes Rugby League Community,2,800
Quicksave,1,8.08
Tesco Stores 6017,2,181.3
Tricostar Llp,6,46012.37
1st Woodhall Scouts,2,300
L S Holdsworth,3,910
Voice Of Holbeck,2,100
Freestyle Hair Co Limi,2,738.34
Future Inns Cardiff,2,288
Greetings,2,18.43
Legendcookshopcouk,1,18.37
Www.Sam-Turner.Co.Uk,1,95.8
Helvar Ltd,14,17339.08
Kirsty Phelan,1,163.34
Kernock Park Plants,2,3770.5
Bevan Brittan Llp,3,586817.16
premier paper grou,5,2527.51
ALLERTON BYWATER COMMUNITY PARTNERSHIP,1,20000
Nu Construction Ltd,17,663420.08
NEVILLE HOUSE,2,22388.29
Ms Elizabeth Jones & Mr Michael Dando,2,5000
Outward Bound Trust Ltd,3,150
Harris & Green Solicitors,17,41891
Linkagency,9,964.66
Enterprise Rac Uk Ltd,59,27368.52
PETER PAN PLAYGROUP,3,26909.8
E.On UK Plc,1,360
